setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
vpacshuf,Vector Pac-Man (Shuffle) [hb],,Shuffle,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpspeed,Vector Pac-Man (Speedy) [hb],,Speedy,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vecpac,Vector Pac-Man [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vectxens,Vector Xens Revenge [hb],,,yes,Pac-Man,,,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vectrped,Vectorpede [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
vectplus,Vector Pacman Plus [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Bally / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
venus,Venus (Gyruss) [bl],,Gyruss,no,,,,no,yes,1983,,Shooter - Tube,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
victorycb,Victory,,,no,,,,no,no,1982,,Shooter - Multidirectional,,vertical (ccw),yes,15kHz,,2 (alternating),8-way,,1,
vindctr2r1,Vindicators Part II (Rev 1),,Rev 1,yes,Vindicators Part II,,Vindicators,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,twin stick,4,
vindctr2r2,Vindicators Part II (Rev 2),,Rev 2,yes,Vindicators Part II,,Vindicators,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,twin stick,4,
vindctr2,Vindicators Part II (Rev 3),,Rev 3,no,,,Vindicators,no,no,1985,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,twin stick,4,
vortex,Vortex,,,no,,,,no,no,1980,Zilec Electronics,Shooter - Multidirectional,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
wacko,Wacko,,,no,,Midway MCR2,,no,no,1983,Bally / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),,"trackball, twin stick",4,
warofbug,War of the Bugs,,,no,,,,no,no,1981,Armenia / Food and Fun Corp,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,1,
warofbugu,War of the Bugs or Monsterous Manouvers in a Mushroom Maze (US),USA,,yes,War of the Bugs,,,no,no,1981,Armenia / Super Video Games,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,1,
wmatch,Water Match (315-5064),,315-5064,no,,Sega System 1,,no,no,1984,Sega,Sports,,vertical (ccw),no,15kHz,,2 (alternating),8-way,twin stick,1,
wmatch,Water Match (US) [315-5064],USA,315-5064,yes,Water Match,Sega System 1,,no,no,1984,Sega,Sports,,vertical (ccw),no,15 kHz,,2 (alternating),4-way,,5,
wow,Wizard of Wor,,,no,,,,no,no,1980,Dave Nutting Associates / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),8-way,,2,
wow,Wizard of Wor (Speech),,Speech,no,,,,no,no,1980,Dave Nutting Associates / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),8-way,,2,
wboy,"Wonder Boy (Set 1, 315-5177)",,"Set 1, 315-5177",no,,Sega System 1,,no,no,1986,Sega,Platform,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
wboy,"Wonder Boy (Set 1, Japan) [315-5177]",Japan,"Set 1, 315-5177",yes,Wonder Boy,Sega System 1,,no,no,1986,Sega,Platform,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
wboysys2,"Wonder Boy (System 2, Set 1, Japan) [315-5177]",Japan,"Set 1, 315-5177",yes,Wonder Boy,Sega System 1,,no,no,1986,Sega,Platform,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
wbmlvcd,Wonder Boy in Monster Land,Japan,"English, Virtual Console",yes,Wonder Boy,Sega System 1,,no,yes,1987,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
wbmlvcd,"Wonder Boy in Monster Land (English, Virtual Console) [decrypted bootleg]",Japan,"English, Virtual Console",yes,Wonder Boy,Sega System 1,,no,yes,1987,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
wbmljod,Wonder Boy in Monster Land (Japanese Old Version) [decrypted bootleg],Japan,"Old Version, Virtual Console",yes,Wonder Boy,Sega System 1,,no,yes,1987,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
wbml,"Wonder Boy in Monster Land (Japanese, New Version) [MC-8123, 317-0043]",Japan,"New Version, Virtual Console",yes,Wonder Boy,Sega System 1,,no,no,1987,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
woodpeck,Woodpecker (Set 1),,Set 1,no,,,,no,no,1981,Amenip / Palcom Queen River,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
xensrev,Xens Revenge [hb],,,yes,Pac-Man,,,yes,no,1980,Jeff Morris,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
xensad,Xens Revenge After Dark [hb],,,yes,Pac-Man,,,yes,no,1980,Jeff Morris,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
xevios,Xevios,,,yes,Xevious,,,no,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
xevious,Xevious,,,no,,,,no,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
xevioush,Xevious 2002 [hb],,,yes,Xevious,,,yes,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
xevious3,Xevious 2003 [hb],,,yes,Xevious,,,yes,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
xevious4,Xevious 2004 [hb],,,yes,Xevious,,,yes,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
xevious5,Xevious 2005 [hb],,,yes,Xevious,,,yes,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
xeviblk,Xevious Black [hb],,,yes,Xevious,,,yes,no,1982,Namco,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
youjyudn,Youjyuden (JP),Japan,,no,,Irem M62,,no,no,1986,Irem,Shooter - Vertical,,vertical (ccw),broken,15kHz,,2 (alternating),8-way,,2,
zaxxon,Zaxxon,,,no,,,Zaxxon,no,no,1982,Sega,Shooter - Isometric,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,1,
zerotimemc,Zero Time (Marti Colls),,Marti Colls,yes,Galaxian,,,no,no,1979,Marti Colls,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
zerotime,Zero Time (Petaco S.A.),,Petaco S.A.,yes,Galaxian,,,no,no,1979,Petaco S.A.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
zigzagb2,"Zig Zag (Dig Dug Conversion, Set 2) [bl]",,"Dig Dug Conversion, Set 2",yes,Dig Dug,,Dig Dug,no,yes,1982,,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
